purpose,priority
"Исполнительное производство 71620 о возмещении вреда здоровью (ОАО «Овчинникова-Блохин») с НДС (РАО «Русакова, Сысоева и Комаров»)",1
Исполнительный лист №17479 о возмещении вреда здоровью (Морозова Инк),1
Компенсация по выставленному счету КПП 413477729,5
Таможенные платежи по декларации 50253 Коралловый (АО «Ларионова-Логинова»),3
"Исполнительный лист №38205 о возмещении вреда здоровью с НДС (РАО «Колобова, Рогова и Осипова»)",1
Возврат займа контрагенту 33185 (основание: договор 886),5
Платеж по страховому случаю 8617 (вред здоровью) Шоколадный,1
Срочный: Платеж за проведение тренинга 30216 с НДС,5
Оплата рекламных услуг 26814 (основание: договор 225) (ОАО «Калашников Зайцева»),5
Оплата банковских услуг 17104 от 25.01.2025,5
"Оплата рекламных услуг 51519, ИНН 200217276557",5
Платеж за уборку помещений 81185 (основание: договор 503),5
"Срочный: ЕНВД за отчетный период 84540, ИНН 381818039493 от 07.10.2024",3
Срочный: Перечисление средств по исп. документу 48190 о возмещении вреда жизни,1
Возврат по выставленному счету КПП 737896113 БИК 628238478,5
Таможенные платежи по декларации 89459 (основание: договор 430),3
Срочный: Исполнительное производство 43757 о возмещении вреда здоровью без НДС,1
Срочный: Срочный: Страховые взносы в ПФР по квитанции 90826,3
"ЕНВД за отчетный период 87440, ИНН 257194845156",3
Оплата по заказу без НДС неотложный платеж,3
Налоговый платеж в бюджет РФ номер 34555 (Макаров Групп) Лазурный,3
"Водный налог 8021, ИНН 376253196085 без НДС",3
Срочный: Взыскание алиментов по исп. листу 69910 от 29.03.2025,1
Срочный: Перечисление за аренду оборудования 316 Светло-синий,5
"Срочный: Перечисление за программное обеспечение 24205, ИНН 220123002605",5
Оплата рекламных услуг 64479 Сине-фиолетовый,5
ПЛАТЕЖ ПО СТРАХОВОМУ СЛУЧАЮ 22324 (ВРЕД ЗДОРОВЬЮ) от 19.08.2024,1
Срочный: Благотворительное пожертвование 27460 без НДС (ОАО «Зимин Лихачева»),5
Исполнительный лист номер 71441 о возмещении вреда здоровью Бежевый,1
Страховые отчисления в ПФР по квитанции 42064,3
Срочный: Налог на имущество организаций 79118 Красный,3
Уплата транспортного налога 13849 с НДС (ЗАО «Филатова»),3
Таможенные платежи по декларации 16046 Светло-синий (основание: договор 955),3
Срочный: Благотворительное пожертвование 78160 с НДС,5
Перечисление за аренду офиса 21866 (основание: договор 678) с НДС,5
Платеж по страховому случаю 24782 (вред здоровью) без НДС (основание: договор 735) (основание: договор 514),1
ПЕРЕЧИСЛЕНИЕ НДФЛ ЗА СОТРУДНИКОВ ПО ПЛАТЕЖКЕ 14157 (основание: договор 989),3
Оплата хостинга за Июль 81434 (основание: договор 513),5
Срочный: Оплата хостинга за Июль 94600 (основание: договор 315) от 20.01.2025,5
Оплата банковских услуг 76264 Оранжево-красный,5
Платежное поручение на налог на прибыль 80224 от 08.04.2025 (основание: договор 550),3
Срочный: Срочный: Исполнительный лист №63186 о возмещении вреда здоровью без НДС,1
